product,cpe,vid
cPanel,cpe:/a:cpanel:cpanel,7013
cPanel WHM,cpe:/a:cpanel:whm,30062
webhost manager,cpe:/a:cpanel:webhost_manager,7014
cpcommerce,cpe:/a:cpcommerce:cpcommerce,7015
CPE17 Autorun Killer,cpe:/a:cpe17:autorun_killer,9110
cp creator,cpe:/a:cpecreator:cp_creator,7016
dragonfly cms,cpe:/a:cpg-nuke:dragonfly_cms,7017
cpdynalinks,cpe:/a:cplinks:cpdynalinks,7018
cplinks,cpe:/a:cplinks:cplinks,7019
cpp-httplib,cpe:/a:cpp-httplib_project:cpp-httplib,44323
cpp-peglib,cpe:/a:cpp-peglib_project:cpp-peglib,50032
CppCMS,cpe:/a:cppcms:cppcms,33715
Power Scripts,cpe:/a:cprime:power_scripts,38318
CPU-Z,cpe:/a:cpuid:cpu-z,30974
CQU-LANKERS,cpe:/a:cqu_lankers_project:cqu_lankers,35992
CrackLib,cpe:/a:cracklib_project:cracklib,26808
Craft CMS,cpe:/a:craftcms:craft_cms,28848
CraftedWeb,cpe:/a:craftedweb_project:craftedweb,34716
Crafter CMS,cpe:/a:craftercms:crafter_cms,36613
Crafter Studio,cpe:/a:craftercms:studio,46812
banking@home,cpe:/a:craftsilicon:banking%40home,7020
Crafty Social Buttons,cpe:/a:crafty_social_buttons_project:crafty_social_buttons,40049
crafty syntax,cpe:/a:craftysyntax:crafty_syntax,4277
crafty syntax live help,cpe:/a:craftysyntax:crafty_syntax_live_help,7021
BackupPC,cpe:/a:craig_barratt:backuppc,3902
cantata,cpe:/a:craig_drummond:cantata,19480
SimpleFlickr,cpe:/a:simpleflickr_project:simpleflickr,23157
mts pro,cpe:/a:craig_morrison:mts_pro,19277
iThoughtsHD,cpe:/a:ithoughts:ithoughtshd,19738
Digital Interchange Calendar,cpe:/a:cramerdev:digital_interchange_calendar,3266
Digital Interchange Document Library,cpe:/a:cramerdev:document_library,3285
Cranoo,cpe:/a:cranoo_project:cranoo,34655
CrashFix,cpe:/a:crashfix_project:crashfix,36741
vBSEO,cpe:/a:crawlability:vbseo,13063
crawltrack,cpe:/a:crawltrack:crawltrack,4278
Cray Linux Environment,cpe:/o:cray:cray_linux_environment,23136
crayon,cpe:/a:crayon_project:crayon,49076
Crayon Syntax Highlighter,cpe:/a:crayon_syntax_highlighter_project:crayon_syntax_highlighter,40029
Crazy Bone,cpe:/a:crazy_bone_project:crazy_bone,40794
crazy goomba,cpe:/a:crazy_goomba:crazy_goomba,7022
crea-book,cpe:/a:crea-book:crea-book,7023
creacms,cpe:/a:creacms:creacms,7024
creamotion,cpe:/a:creamotion:creamotion,7025
gold koy portali,cpe:/a:creapark:gold_koy_portali,7026
creadirectory,cpe:/a:creascripts:creadirectory,7027
creasito e-commerce content manager,cpe:/a:creasito:creasito_e-commerce_content_manager,7028
Create-Project Manager,cpe:/a:create-project_manager_project:create-project_manager:1.07,45743
react-dev-utils,cpe:/a:create-react-app_project:react-dev-utils,37475
createauction,cpe:/a:createauction:createauction,7029
lisk cms,cpe:/a:createch-group:lisk_cms,7030
CreateVision CMS,cpe:/a:createvision:createvision_cms,4076
compassion satisfaction,cpe:/a:creatingahaven:compassion_satisfaction,22585
autoupdate,cpe:/a:creative:autoupdate,7031
autoupdate engine activex control,cpe:/a:creative:autoupdate_engine_activex_control,7032
creative software autoupdate engine,cpe:/a:creative:creative_software_autoupdate_engine,7033
Creative Commons,cpe:/a:creative_commons_module_project:creativecommons,9357
AppLock,cpe:/a:creative_core:app_lock,4045
Simple Dropbox Upload,cpe:/a:cdsincdesign:simple_dropbox_upload_form,18454
SocketMail,cpe:/a:socketmail:socketmail,7034
creative guestbook,cpe:/a:creative_guestbook:creative_guestbook,7035
creator cms,cpe:/a:creative_mind:creator_cms,7036
Social Slider Feed,cpe:/a:cm-wp:social_slider_widget,49925
multi-level cms,cpe:/a:creative_web_solutions:multi-level_cms,7037
Contact Form Generator,cpe:/a:creative-solutions:contact_form_generator,24825
Creative Contact Form,cpe:/a:creative-solutions:creative_contact_form,43192
Real3D Flipbook,cpe:/a:creativeinteractivemedia:real3d_flipbook,40633
CM Download Manager,cpe:/a:creative_minds:cm_download_manager,21770
CM Enhanced Tooltip Glossary,cpe:/a:creative_minds:enhanced-tooltipglossary,27051
Ekushey Project Manager CRM,cpe:/a:creativeitem:ekushey_project_manage,36337
Neoflex Video Subscription System,cpe:/a:creativeitem:neoflex_video_subscription_system,47392
wityCMS,cpe:/a:creatiwity:witycms,33809
credant mobile guardian shield - windows,cpe:/a:credant:credant_mobile_guardian_shield_-_windows,7038
insight,cpe:/a:creditease-sec:insight,37033
CWCMS,cpe:/a:creditwestbank:cwcms,33050
Crelly Slider,cpe:/a:crelly_slider_project:crelly_slider,40447
cre loaded,cpe:/a:creloaded:cre_loaded,4279
CremeCRM,cpe:/a:cremecrm:cremecrm,35836
Gravity,cpe:/a:creolabs:gravity,29712
AirMedia AM-100,cpe:/h:crestron:airmedia_am-100,26627
AirMedia AM-100 ファームウェア,cpe:/o:crestron:airmedia_am-100_firmware,26628
AirMedia AM-101 ファームウェア,cpe:/o:crestron:airmedia_am-101_firmware,35157
Crestron Toolbox Protocol ファームウェア,cpe:/o:crestron:crestron_toolbox_protocol_firmware,34447
DGE-100 ファームウェア,cpe:/o:crestron:dge-100_firmware,35279
DM-DGE-200-C ファームウェア,cpe:/o:crestron:dm-dge-200-c_firmware,35280
DM-TXRX-100-STR,cpe:/h:crestron:dm-txrx-100-str,26626
DM-TXRX-100-STR ファームウェア,cpe:/o:crestron:dm-txrx-100-str_firmware,26625
DMC-STRO ファームウェア,cpe:/o:crestron:dmc-stro_firmware,42015
MC3 ファームウェア,cpe:/o:crestron:mc3_firmware,35579
TS-1542-C ファームウェア,cpe:/o:crestron:ts-1542-c_firmware,35281
TSW-X60 ファームウェア,cpe:/o:crestron:tsw-x60_firmware,35542
c.r. group,cpe:/a:crgroup-lb:c.r._group,22580
Cribl,cpe:/a:cribl:cribl,38547
ListingPro,cpe:/a:cridio:listingpro,42352
phplojafacil,cpe:/a:crie_sue:phplojafacil,7039
CrimsonShilling,cpe:/a:crimsonshilling_project:crimsonshilling,35025
crip,cpe:/a:crip:crip,7040
pam_userdb,cpe:/a:cristian_gafton:pam_userdb,20061
PHP-SCMS,cpe:/a:cristopher_shi:php-scms,13183
CRIU,cpe:/a:criu:criu,26248
Business Platform,cpe:/a:crk:business_platform,48860
interleave,cpe:/a:crm_ctt:interleave,7041
CRMEB,cpe:/a:crmeb:crmeb,47114
crob ftp server,cpe:/a:crob:crob_ftp_server,7042
JetWidgets For Elementor,cpe:/a:crocoblock:jetwidgets_for_elementor,50336
facil helpdesk,cpe:/a:cromosoft:facil_helpdesk,7043
simple plantilla php,cpe:/a:cromosoft:simple_plantilla_php,7044
cron,cpe:/a:cron_project:cron,29461
cron-utils,cpe:/a:cron-utils_project:cron-utils,48100
cronic,cpe:/a:project_cronic:cronic,26610
cadre php framework,cpe:/a:cronosys:cadre_php_framework,7045
Croogo,cpe:/a:croogo:croogo,21516
cropimage component,cpe:/a:cropimage_component:cropimage_component,7046
Cross Domain Local Storage,cpe:/a:cross_domain_local_storage_project:cross_domain_local_storage,44291
Digital Persona U.are.U 4500 driver ファームウェア,cpe:/o:crossmatch:digital_persona_u.are.u_4500_driver_firmware,39622
Digital Persona U.are.U 4500 ファームウェア,cpe:/o:crossmatch:digital_persona_u.are.u_4500_firmware,39186
cross reference,cpe:/a:cross_reference_project:cross_reference,37177
cross-env.js,cpe:/a:cross-env.js_project:cross-env.js,33848
Cross-RSS,cpe:/a:cross-rss_plugin_project:wp-cross-rss,20576
Crossbeam,cpe:/a:crossbeam_project:crossbeam,40237
crossbeam-channel,cpe:/a:crossbeam-channel_project:crossbeam-channel,49030
UniSign,cpe:/a:crosscert:unisign,39918
crossenv,cpe:/a:crossenv_project:crossenv,34164
crossfire,cpe:/a:crossfire:crossfire,7047
crossftp pro,cpe:/a:crossftp:crossftp_pro,4280
crossmo calendar,cpe:/a:crossmo:crossmo_calendar,22710
barclamp-network,cpe:/a:crowbar_project:barclamp,19806
barclamp-trove,cpe:/a:crowbar_project:barclamp-trove,27488
Crowbar,cpe:/a:crowbar_project:crowbar,34521
crowbar-openstack,cpe:/a:crowbar_project:crowbar-openstack,27489
Crowdnext,cpe:/a:crowdnext_project:crowdnext,34244
G232V1 ファームウェア,cpe:/o:okerthai:g232v1_firmware,42635
Ditto Forensic FieldStation,cpe:/h:cru-inc:ditto_forensic_fieldstation,18962
Ditto Forensic FieldStation ファームウェア,cpe:/o:cru-inc:ditto_forensic_fieldstation_firmware,18963
WP Like button,cpe:/a:crudlab:wp_like_button,39352
Crumbs,cpe:/a:crumbs_project:crumbs,24256
crun,cpe:/a:crun_project:crun,41661
All in One Webmaster,cpe:/a:crunchify:all-in-on-webmaster,17208
Facebook Members,cpe:/a:crunchify:facebook_members,17248
Foursquare Checkins,cpe:/a:crunchify:foursquare-checkins,17211
CrushFTP,cpe:/a:crushftp:crushftp,30361
cruxcms,cpe:/a:cruxsoftware:cruxcms,7048
cruxpa,cpe:/a:cruxsoftware:cruxpa,7049
gallery,cpe:/a:cruxsoftware:gallery,7050
cryo,cpe:/o:cryo_project:cryo,35772
Cryoserver,cpe:/a:cryoserver:cryoserver_security_appliance,21373
Cryptbond Network,cpe:/a:cryptbond_network_project:cryptbond_network,42610
AirdropperCryptics,cpe:/a:cryptics:airdroppercryptics,34999
CryptLib,cpe:/a:cryptlib:cryptlib,34566
Crypto Alley Shares,cpe:/a:crypto_alley_shares_project:crypto_alley_shares,34881
CryptoPro CSP,cpe:/a:cryptopro:csp,47233
CryptoABS,cpe:/a:cryptoabs_project:cryptoabs,34663
BattleToken,cpe:/a:cryptobots:battletoken,37829
crypto-server,cpe:/a:cryptocard:crypto-server,7051
Cryptocat,cpe:/a:cryptocat_project:cryptocat,41363
Cryptography,cpe:/a:cryptography.io:cryptography,28570
python-cryptography,cpe:/a:cryptography.io:python-cryptography,35630
Cryptogs,cpe:/a:cryptogs:cryptogs,35440
CryptoLeu,cpe:/a:cryptoleu_project:cryptoleu,35085
CryptonitexCoin,cpe:/a:cryptonitexcoin_project:cryptonitexcoin,34690
CryptoNote,cpe:/a:cryptonote:cryptonote,32998
Crypto++,cpe:/a:cryptopp:crypto%2B%2B_library,24385
CryptoSaga,cpe:/a:cryptosaga:cryptosaga,36580
CryptosisToken,cpe:/a:cryptosistoken_project:cryptosistoken,34220
cryptsetup,cpe:/a:cryptsetup_project:cryptsetup,27791
Cryptshare Server,cpe:/a:cryptshare:cryptshare_server,49760
Valid S/A Idflex V,cpe:/o:cryptsoft:s%2fa_idflex_v,41420
crystalplayer pro,cpe:/a:crystal_reality_llc:crystalplayer_pro,7052
Crystals,cpe:/a:crystals:crystals,34892
crysis,cpe:/a:crytek:crysis,7053
counter strike portal,cpe:/a:cs_team:counter_strike_portal,7056
CS-Cart,cpe:/a:cs-cart:cs-cart,7054
cs-gallery,cpe:/a:cs-gallery:cs-gallery,7055
P2P,cpe:/a:cs2-network:p2p,45949
CSAToken,cpe:/a:csa-estate:csatoken,35027
sapid blog beta 2,cpe:/a:csaba_godor:sapid_blog_beta_2,7057
CScms,cpe:/a:cscms_project:cscms,33806
Cscope,cpe:/a:cscope:cscope,2131
csdoom,cpe:/a:csdoom:csdoom,19328
CSE Bookstore,cpe:/a:cse_bookstore_project:cse_bookstore,48995
GPRS,cpe:/h:csl_dualcom:gprs,25088
GPRS CS2300-R ファームウェア,cpe:/o:csl_dualcom:gprs_cs2300-r_firmware,25087
Csound,cpe:/a:csounds:csound,7058
clansphere,cpe:/a:csphere:clansphere,4281
CSP MySQL User Manager,cpe:/a:csp_mysql_user_manager_project:csp_mysql_user_manager,19161
csrf-lite,cpe:/a:csrf-lite_project:csrf-lite,34439
csrf-magic,cpe:/a:csrf-magic_project:csrf-magic,35590
CSS Hero,cpe:/a:csshero:csshero,42051
Chat2,cpe:/a:css-tricks:chat2,37268
css-what,cpe:/a:css-what_project:css-what,50875
SupportEzzy Ticket System,cpe:/a:supportezzy_ticket_system_project:supportezzy_ticket_system,21750
festival,cpe:/a:cstr:festival,4282
cstring,cpe:/a:cstring_project:cstring,33682
csv-parse,cpe:/a:csv-parse_project:csv-parse,41143
csv2wpec-coupon,cpe:/a:csv2wpec-coupon_project:csv2wpec-coupon,27010
CSWorks,cpe:/a:controlsystemworks:csworks,3033
CSZ-CMS,cpe:/a:cszcms:csz_cms,37361
CTB,cpe:/a:ctb_project:ctb,34777
CTDB,cpe:/a:ctdb_project:ctdb,20712
Career Trust Ecosystem,cpe:/a:cte:career_trust_ecosystem,34902
SkyRouter,cpe:/h:ctekproducts:skyrouter,3597
SkyRouter シリーズ 4200 ファームウェア,cpe:/o:ctekproducts:skyrouter_z4200_firmware,30951
SkyRouter シリーズ 4400 ファームウェア,cpe:/o:ctekproducts:skyrouter_z4400_firmware,30952
Cloud Storage OS,cpe:/o:ctera:cloud_storage_os,19544
CTest7,cpe:/a:ctest7_project:ctest7,34326
CTFd,cpe:/a:ctfd:ctfd,42972
rCTF,cpe:/a:ctfd:rctf,44205
CityBook,cpe:/a:cththemes:citybook,42569
EasyBook,cpe:/a:cththemes:easybook,42570
TownHub,cpe:/a:cththemes:townhub,42571
ct ihub,cpe:/a:ctihub:ct_ihub,22397
ThinkAdmin,cpe:/a:ctolog:thinkadmin,38244
Apollo,cpe:/a:ctrip:apollo,38103
ClassAd,cpe:/a:cts_projects%26software:classad,23205
findnix,cpe:/a:ctw_design:findnix,7059
CubeCart,cpe:/a:cubecart:cubecart,3466
AMP,cpe:/a:cubecoders:amp,50373
Cuberite,cpe:/a:cuberite:cuberite,40073
CUBIC CMS,cpe:/a:cubicfactory:cubic_cms,19200
cuciuci,cpe:/a:cuciuci_project:cuciuci,34096
cue-sdk-node,cpe:/a:cue-sdk-node_project:cue-sdk-node,33963
Smart Firewall,cpe:/a:getcujo:smart_firewall,37987
Cumin,cpe:/a:trevor_mckay:cumin,5108
cumulative-distribution-function,cpe:/a:cumulative-distribution-function_project:cumulative-distribution-function,50374
Cumulus Linux,cpe:/o:cumulusnetworks:cumulus_linux,31028
credit union of texas mobile,cpe:/a:cuoftexas:credit_union_of_texas_mobile,22783
myminibill,cpe:/a:cupidsystems:myminibill,7060
CuppaCMS,cpe:/a:cuppacms:cuppacms,35976
CUPS,cpe:/a:cups:cups,888
Cups Easy (Purchase & Inventory),cpe:/a:cups_easy_%28purchase_%26_inventory%29_project:cups_easy_%28purchase_%26_inventory%29,43094
cups-pk-helper,cpe:/a:cups-pk-helper_project:cups-pk-helper,13322
DOMPurify,cpe:/a:cure53:dompurify,40776
cure viewer,cpe:/a:curecos:cure_viewer,22411
curling,cpe:/a:curling_project:curling,42942
curlrequest,cpe:/a:curlrequest_project:curlrequest,44786
Current Search Links,cpe:/a:current_search_links_project:current_search_links,24287
Curriculum Evaluation System,cpe:/a:curriculum_evaluation_system_project:curriculum_evaluation_system,36511
curses,cpe:/a:curses_project:curses,33988
zipwrangler,cpe:/a:cursorarts:zipwrangler,7061
libexif,cpe:/a:curtis_galloway:libexif,7062
CAG CMS,cpe:/a:curtiss_grymala:cag_cms,3456
a12n-server,cpe:/a:curveballjs:a12n-server,50005
elgg,cpe:/a:curveriderhq:elgg,7063
Custom 404 Pro,cpe:/a:custom_404_pro_project:custom_404_pro,39930
Custom Banners,cpe:/a:custom_banners_plugin_project:custom_banners,20543
Custom Field Suite,cpe:/a:custom_field_suite_project:custom_field_suite,38626
custom-searchable-data-entry-system,cpe:/a:custom_searchable_data_entry_system_project:custom_searchable_data_entry_system,44114
Custom Simple Rss,cpe:/a:custom_simple_rss_project:custom_simple_rss,39665
WP Open Graph,cpe:/a:custom4web:wp_open_graph,38388
ccms,cpe:/a:customcms:ccms,7064
gaming portal,cpe:/a:customcms:gaming_portal,7065
Customer Files Upload,cpe:/a:customer_files_upload_project:customer_files_upload,36569
pagedirector cms,cpe:/a:customerparadigm:pagedirector_cms,7066
cuteflow,cpe:/a:cuteflow:cuteflow,7068
cuteflow bin,cpe:/a:cuteflow-bin:cuteflow_bin,7067
cutenews aj-fork,cpe:/a:cutenews_aj-fork:cutenews_aj-fork,7069
formmax,cpe:/a:cutepdf:formmax,7070
CuteNews,cpe:/a:cutephp:cutenews,7071
CuteSITE CMS,cpe:/a:cutesite:cutesite_cms,3255
Cute Editor,cpe:/a:cutesoft_components:cute_editor,9283
cute editor for asp.net,cpe:/a:cutesoft_components:cute_editor_for_asp.net,7072
leicestershire communityportals,cpe:/a:cuttlefish_multimedia_ltd.:leicestershire_communityportals,7073
cuyahoga,cpe:/a:cuyahoga:cuyahoga,7074
CVS,cpe:/a:cvs:cvs,1038
cvstrac,cpe:/a:cvstrac:cvstrac,7075
CW Article Attachments FREE,cpe:/a:cwjoomla:cw_article_attachments_free,35979
CW Article Attachments PRO,cpe:/a:cwjoomla:cw_article_attachments_pro,35980
CW Tags,cpe:/a:cwjoomla:cw_tags,32553
contentnow cms,cpe:/a:cwh_underground:contentnow_cms,7076
demo4 cms,cpe:/a:cwh_underground:demo4_cms,7077
cwmcounter,cpe:/a:cwm-design:cwmcounter,7078
cwmexplorer,cpe:/a:cwm-design:cwmexplorer,7079
cwmvote,cpe:/a:cwm-design:cwmvote,7080
sahab-alkher.com,cpe:/a:cws:sahab-alkher.com,22926
CWS,cpe:/a:cws_project:cws,34323
cxuuCMS,cpe:/a:cxuu:cxuucms,47968
cyanprintip basic,cpe:/a:cyan_soft:cyanprintip_basic,7081
cyanprintip easy opi,cpe:/a:cyan_soft:cyanprintip_easy_opi,7082
cyanprintip professional,cpe:/a:cyan_soft:cyanprintip_professional,7083
cyanprintip standard,cpe:/a:cyan_soft:cyanprintip_standard,7084
cyanprintip workstation,cpe:/a:cyan_soft:cyanprintip_workstation,7085
opium4 opi server,cpe:/a:cyan_soft:opium4_opi_server,7086
CyanogenMod,cpe:/o:cyanogenmod:cyanogenmod,13143
cyask,cpe:/a:cyask:cyask,7087
Thinfinity Remote Desktop Workstation,cpe:/a:cybele:thinfinity_remote_desktop_workstation,30883
Thinfinity VirtualUI,cpe:/a:cybele:thinfinity_virtualui,45016
ThinVNC,cpe:/a:cybele:thinvnc,41205
weblog,cpe:/a:cyber_inside:weblog,7088
PowerPanel,cpe:/a:cyberpowersystems:powerpanel,39386
Password Vault Web Access,cpe:/a:cyber-ark:password_vault_web_access,2727
cyber-js,cpe:/a:cyber-js_project:cyber-js,34015
Conjur OSS Helm Chart,cpe:/a:cyberark:conjur_oss_helm_chart,45300
Endpoint Privilege Manager,cpe:/a:cyberark:endpoint_privilege_manager,35060
Enterprise Password Vault,cpe:/a:cyberark:enterprise_password_vault,38579
Password Vault,cpe:/a:cyberark:password_vault,33286
Privileged Session Manager,cpe:/a:cyberark:privileged_session_manager,47241
cyberbb,cpe:/a:cyberbb:cyberbb,7089
cyberbrau,cpe:/a:cyberbrau:cyberbrau,7090
Gutenberg & Elementor Templates Importer For Responsive,cpe:/a:cyberchimps:gutenberg_%26_elementor_templates_importer_for_responsive,44589
while you were out inout board,cpe:/a:cybercoded:while_you_were_out_inout_board,7091
swipehq payment gateway wp e-commerce,cpe:/a:cybercompay:swipehq-payment-gateway-wp-e-commerce,42472
swipehq-payment-gateway-woocommerce,cpe:/a:cybercompay:swipehq-payment-gateway-woocommerce,42481
content-grabber,cpe:/a:cybercraftit:content-grabber,41074
cyberfolio,cpe:/a:cyberfolio:cyberfolio,7092
cfnetgs,cpe:/a:cyberfrogs:cfnetgs,7093
CyberGhost VPN,cpe:/a:cyberghostvpn:cyberghost,33575
phpsearch,cpe:/a:cybergl_dev_team:phpsearch,7094
Easy Social Icons,cpe:/a:cybernetikz:easy_social_icons,23584
CyberPanel,cpe:/a:cyberpanel:cyberpanel,39263
xpinner-lite,cpe:/a:cyberseo:xpinner_lite,40729
cybershadecms,cpe:/a:cybershade:cybershadecms,7096
CyberSource,cpe:/a:cybersource_module_project:cybersource,13267
weblog,cpe:/a:cyberteddy:weblog,7097
Kaa IoT Platform,cpe:/a:cybervision:kaa_iot_platform,29048
girls calendar period&weight,cpe:/a:cybird:girls_calendar_period%26weight,22699
romeo and juliet,cpe:/a:cybird:romeo_and_juliet,22668
cyboards php lite,cpe:/a:cyboards:cyboards_php_lite,7098
musoo,cpe:/a:cybozu_labs:musoo,7100
CyBroHttpServer,cpe:/a:cybrotech:cybrohttpserver,35744
cycling manager game cff,cpe:/a:cyclingforfun:cycling_manager_game_cff,21985
cycloscopelite,cpe:/a:cyclomedia:cycloscopelite,7101
Flick a Trade,cpe:/a:flickatrade:flick_a_trade,21070
sysPass,cpe:/a:cygnux:syspass,24628
Cygwin,cpe:/a:cygwin:cygwin,28872
Cygwin Git,cpe:/a:cygwin:git,50396
Cylance,cpe:/a:cylance:cylance,39697
CylancePROTECT,cpe:/a:cylance:cylanceprotect,33563
CyMiInstaller322 ActiveX,cpe:/a:cymiinstaller322_activex_project:cymiinstaller322_activex,45432
Horizon Quick Content Management System,cpe:/a:cynthia_fridsma:horizon_quick_content_management_system,19130
phpmydesk,cpe:/a:cynux_softwares:phpmydesk,7102
CYBL11573,cpe:/a:cypress:cybl11573,43450
CYBLE-416045,cpe:/a:cypress:cyble-416045,43449
cypress,cpe:/a:cypress:cypress,7103
CYW20702A1KWFBG ファームウェア,cpe:/o:cypress:cyw20702a1kwfbg_firmware,39028
CYW20702A1KWFBGT ファームウェア,cpe:/o:cypress:cyw20702a1kwfbgt_firmware,39029
CYW20702B0KWFBG ファームウェア,cpe:/o:cypress:cyw20702b0kwfbg_firmware,39030
CYW20702B0KWFBGT ファームウェア,cpe:/o:cypress:cyw20702b0kwfbgt_firmware,39031
CYW20703UA1KFFB1G ファームウェア,cpe:/o:cypress:cyw20703ua1kffb1g_firmware,39032
CYW20703UA1KFFB1GT ファームウェア,cpe:/o:cypress:cyw20703ua1kffb1gt_firmware,39033
CYW20704UA1KFFB1G ファームウェア,cpe:/o:cypress:cyw20704ua1kffb1g_firmware,39034
CYW20704UA1KFFB1GT ファームウェア,cpe:/o:cypress:cyw20704ua1kffb1gt_firmware,39035
CYW20735 ファームウェア,cpe:/o:cypress:cyw20735_firmware,45283
PSoC 4 BLE,cpe:/a:cypress:psoc_4_ble,43198
PSoC 4.2 BLE,cpe:/a:cypress:psoc_4.2_ble,45219
WICED Studio,cpe:/a:cypress:wiced_studio,44516
cypserver,cpe:/a:cypserver_project:cypserver,34293
Cyrus IMAP,cpe:/a:cyrus:imap,50647
IMAP Server,cpe:/a:cyrus:imap_server,4270
cysteme-finder,cpe:/a:cysteme:cysteme-finder,40568
AppGate SDP,cpe:/a:cyxtera:appgate_sdp,42418
Foris,cpe:/a:nic:foris,49407
Knot Resolver,cpe:/a:nic:knot_resolver,32229
Knot DNS,cpe:/a:knot_dns_project:knot_dns,27883
czarnews,cpe:/a:czaries:czarnews,7104
czarnews,cpe:/a:czaries_network:czarnews,13468
wp-planet,cpe:/a:czepol:wp-planet,42332
D-Bus,cpe:/a:d-bus_project:d-bus,461
libdbus,cpe:/a:d-bus_project:libdbus,9636
Camera Stream Client ActiveX コントロール,cpe:/a:d-link:camera_stream_client_activex_control,16743
Central WiFi Manager,cpe:/a:d-link:central_wifimanager,36149
COVR-2600R ファームウェア,cpe:/o:d-link:covr-2600r_firmware,46630
COVR-3902 ファームウェア,cpe:/o:d-link:covr-3902_firmware,46631
D-Link 6600-AP ファームウェア,cpe:/o:d-link:6600-ap_firmware,39712
D-Link DAP-1360U,cpe:/h:d-link:dap-1360u,46878
D-Link DAP-1520 ファームウェア,cpe:/o:d-link:dap-1520_firmware,45756
D-Link DAP-1520U ファームウェア,cpe:/o:d-link:dap-1360u_firmware,46877
D-Link DCS-2103,cpe:/h:d-link:dcs-2103_hd_cube_network_camera,21760
D-Link DCS-2103 ファームウェア,cpe:/o:d-link:dcs-2103_hd_cube_network_camera_firmware,21761
D-Link DCS-2121,cpe:/h:d-link:dcs-2121,2991
D-Link DIR-610 ファームウェア,cpe:/o:d-link:dir-610_firmware,45537
D-Link DNR-320L ファームウェア,cpe:/o:d-link:dnr-320l_firmware,30461
D-Link DNR-326 ファームウェア,cpe:/o:d-link:dnr-326_firmware,30455
D-Link DNS-320 ファームウェア,cpe:/o:d-link:dns-320_firmware,40546
D-Link DNS-320B ファームウェア,cpe:/o:d-link:dns-320b_firmware,30456
D-Link DNS-320L ファームウェア,cpe:/o:d-link:dns-320l_firmware,30457
D-Link DNS-320LW ファームウェア,cpe:/o:d-link:dns-320lw_firmware,30462
D-Link DNS-322L ファームウェア,cpe:/o:d-link:dns-322l_firmware,30454
D-Link DNS-325 ファームウェア,cpe:/o:d-link:dns-325_firmware,30458
D-Link DNS-327L ファームウェア,cpe:/o:d-link:dns-327l_firmware,30459
D-Link DNS-345 ファームウェア,cpe:/o:d-link:dns-345_firmware,30460
D-Link DSL-2730B,cpe:/h:d-link:dsl-2730b,23385
D-Link DSL-2730B ファームウェア,cpe:/o:d-link:dsl-2730b_firmware,23384
D-Link DWR-932B,cpe:/h:d-link:dwr-932b,27827
D-Link DWR-932B ファームウェア,cpe:/o:d-link:dwr-932b_firmware,27826
DAP-1150,cpe:/h:d-link:dap_1150,20792
DAP-1150 ファームウェア,cpe:/o:d-link:dap_1150_firmware,20825
DAP-1320,cpe:/h:d-link:dap-1320,23566
DAP-1320 ファームウェア,cpe:/o:d-link:dap-1320_firmware,23567
DAP-1330 ファームウェア,cpe:/o:d-link:dap-1330_firmware,43483
DAP-1350,cpe:/h:d-link:dap-1350,20797
DAP-1350 ファームウェア,cpe:/o:d-link:dap-1350_firmware,20827
DAP-1353 H/W vers. B1 ファームウェア,cpe:/o:d-link:dap-1353_h%2Fw_b1_firmware,28906
DAP-1360,cpe:/h:d-link:dap-1360,23271
DAP-1360 ファームウェア,cpe:/a:d-link:dap-1360_firmware,23269
DAP-1360 ファームウェア,cpe:/o:d-link:dap-1360_firmware,44924
DAP-1522 ファームウェア,cpe:/o:d-link:dap-1522_firmware,45745
DAP-1530 ファームウェア,cpe:/o:d-link:dap-1530_firmware,38292
DAP-1610 ファームウェア,cpe:/o:d-link:dap-1610_firmware,38293
DAP-1650 ファームウェア,cpe:/o:d-link:dap-1650_firmware,44026
DAP-1860 ファームウェア,cpe:/o:d-link:dap-1860_firmware,42147
DAP-1880AC,cpe:/h:d-link:dap-1880AC,47307
DAP-2020 ファームウェア,cpe:/o:d-link:dap-2020_firmware,50055
DAP-2230 ファームウェア,cpe:/o:d-link:dap-2230_firmware,28860
DAP-2310 ファームウェア,cpe:/o:d-link:dap-2310_firmware,28861
DAP-2330 ファームウェア,cpe:/o:d-link:dap-2330_firmware,28862
DAP-2360 ファームウェア,cpe:/o:d-link:dap-2360_firmware,28863
DAP-2553,cpe:/h:d-link:dap_2553,20796
DAP-2553 H/W ver. A1 ファームウェア,cpe:/o:d-link:dap-2553_h%2Fw_a1_firmware,28907
DAP-2553 ファームウェア,cpe:/o:d-link:dap-2553_firmware,20826
DAP-2610 ファームウェア,cpe:/o:d-link:dap-2610_firmware,43481
DAP-2660 ファームウェア,cpe:/o:d-link:dap-2660_firmware,28865
DAP-2690 ファームウェア,cpe:/o:d-link:dap-2690_firmware,28866
DAP-2695 ファームウェア,cpe:/o:d-link:dap-2695_firmware,28867
DAP-3320 ファームウェア,cpe:/o:d-link:dap-3320_firmware,28868
DAP-3520 H/W ver. A1 ファームウェア,cpe:/o:d-link:dap-3520_h%2Fw_a1_firmware,28908
DAP-3662 ファームウェア,cpe:/o:d-link:dap-3662_firmware,28869
DBA-1510P ファームウェア,cpe:/o:d-link:dba-1510p_firmware,42480
DCH-M225 ファームウェア,cpe:/o:d-link:dch-m225_firmware,43377
