vendor,cpe,vid
Cherokee Project,cpe:/:cherokee-project,734
Cherry-Design,cpe:/:cherry-design,11387
cherry-software,cpe:/:cherry-software,1396
CHERRYCOIN project,cpe:/:cherrycoin_project,15164
CherryCoinFoundation project,cpe:/:cherrycoinfoundation_project,14516
cherrypy,cpe:/:cherrypy,2791
chetcpasswd,cpe:/:chetcpasswd,2792
Chevereto Software,cpe:/:chevereto,1855
Chewy Games,cpe:/:chewysoftware,10054
chi hoang,cpe:/:chi_hoang,2793
chicken of the vnc,cpe:/:chicken_of_the_vnc,2794
chicomas,cpe:/:chicomas,2795
chieminger,cpe:/:chieminger,2796
chifro,cpe:/:chifro,11239
childrens,cpe:/:childrens,10468
chilkat software,cpe:/:chilkat_software,2797
chilkatsoft,cpe:/:chilkatsoft,2798
Chill Creations,cpe:/:chillcreations,994
chillingo,cpe:/:chillingo,11257
chillyCMS,cpe:/:chillycms,910
chimaera,cpe:/:chimaera,2799
ChimpGroup Ltd.,cpe:/:wp-jobhunt_project,16158
"CHINA KEY SYSTEM & INTEGRATED CIRCUIT CO., LTD.",cpe:/:cksic,18709
China Mobile Limited,cpe:/:chinamobile,15837
china-on-site,cpe:/:china-on-site,2800
chinagames,cpe:/:chinagames,2801
chip salzenberg,cpe:/:chip_salzenberg,2802
chipmailer,cpe:/:chipmailer,9356
Chipmunk Scripts,cpe:/:chipmunk-scripts,815
ChipsBank,cpe:/:chipsbank,15975
CHIYU Technology Co Ltd.,cpe:/:chiyutw,11825
chmlib,cpe:/:chmlib,2803
Chocolate Doom,cpe:/:chocolate-doom,18408
Chocolatey Software Inc,cpe:/:chocolatey,18620
Choice of Love,cpe:/:choiceoflove,10082
Choice Wireless,cpe:/:choice_wireless,9006
chownr project,cpe:/:chownr_project,18374
Chris & Andrew Fox,cpe:/:fb_gorilla_project,9945
Chris Desautels,cpe:/:chris_desautels,8903
Chris Doerr,cpe:/:meomundo,16419
Chris Hertzog,cpe:/:security_questions_project,6667
chris mac,cpe:/:chris_mac,2805
Chris McGrath,cpe:/:easy_career_openings_project,17652
chris shattuck,cpe:/:chris_shattuck,2806
chris simon,cpe:/:chris_simon,2807
Chris Taylor,cpe:/:stillbreathing,9871
chris wederka,cpe:/:chris_wederka,2808
christian dywan,cpe:/:christian_dywan,1397
christian ehmann,cpe:/:christian_ehmann,2809
christian hennecke,cpe:/:christian_hennecke,2810
Christian Johansson,cpe:/:christian_johansson,6671
Christian Neukirchen,cpe:/:rubyforge,1046
christian scheurer,cpe:/:christian_scheurer,2811
Christian Schramm,cpe:/:shoco_project,12964
christof bruyland,cpe:/:christof_bruyland,2812
Christophe Balisky,cpe:/:christophe_balisky,8997
christophe thibault,cpe:/:christophe_thibault,2813
christopher fowler,cpe:/:christopher_fowler,2814
Christopher M. Mitchell,cpe:/:christopher_mitchell,4223
chromedriver126 project,cpe:/:chromedriver126_project,14262
Chrono-node project,cpe:/:chrono-node_project,19783
chronoengine,cpe:/:chronoengine,2816
ChronoScan,cpe:/:chronoscan,16475
Chuango Security Technology Corp,cpe:/:chuango,16121
ChuCunLingAIGO project,cpe:/:chucunlingaigo_project,14915
chumby,cpe:/:chumby,4181
chumpsoft,cpe:/:chumpsoft,2817
chupix,cpe:/:chupix,2818
Church Admin Plugin,cpe:/:church_admin_project,11704
ChurchRota project,cpe:/:churchrota_project,19632
ChurchThemes,cpe:/:churchthemes,17148
chxo,cpe:/:chxo,2819
Chyrp,cpe:/:chyrp,1398
Chyrp Lite project,cpe:/:chyrp-lite_project,12952
ciamos,cpe:/:ciamos,2820
CIBC,cpe:/:cibc,10080
ciberia,cpe:/:ciberia,2821
CIBN Live Token project,cpe:/:cibn_live_token_project,14816
cicoandcico,cpe:/:cicoandcico,2822
CIK Telecom,cpe:/:ciktel,17866
cikkaa,cpe:/:cikkaa,15072
cilekyazilim,cpe:/:cilekyazilim,2823
cilem,cpe:/:cilem,2824
CIM project,cpe:/:cim_project,15893
cimmetry systems,cpe:/:cimmetry_systems,6708
"CIMON CO.,LTD",cpe:/:cimon,11591
"CIMTechniques, Inc.",cpe:/:cimtechniques,15930
cine,cpe:/:cine,2825
CIPE,cpe:/:olaf_titz,332
CipherCoin,cpe:/:ciphercoin,11913
CipherMail,cpe:/:ciphermail,18382
ciphertrust,cpe:/:ciphertrust,2826
CIPPlanner Corporation,cpe:/:cipplanner,18158
Ciprian Murariu,cpe:/:ciprianmp,17670
Ciprian Popescu,cpe:/:ciprian_popescu,8794
CipSoft,cpe:/:cipsoft,16970
cir,cpe:/:cir,11154
CIRA,cpe:/:cira,18952
CIRCL,cpe:/:circl,17854
Circle Media Inc.,cpe:/:meetcircle,13327
CIRCONTROL S.A,cpe:/:circontrol,14762
CircuitWerkes,cpe:/:broadcastboxes,16133
circulargenius,cpe:/:circulargenius,2827
CIRT.net,cpe:/:cirt.net,14221
CISOfy,cpe:/:cisofy,9747
cistyle,cpe:/:cistyle,2828
Cit-e-Net,cpe:/:cit-e-net,13066
citadel,cpe:/:citadel,1399
Citect,cpe:/:citect,404
CITI,cpe:/:umich,335
citibank,cpe:/:citibank,2829
CITSmart,cpe:/:citsmart,19144
city writer,cpe:/:city_writer,2830
cityforfree,cpe:/:cityforfree,2831
citypredict.whauwiller project,cpe:/:citypredict.whauwiller_project,14338
citystar,cpe:/:citystar,10643
CivetWeb project,cpe:/:civetweb_project,14765
civic-cms,cpe:/:civic-cms,2832
civica software,cpe:/:civica_software,2833
CiviCRM,cpe:/:civicrm,6615
civicspace,cpe:/:civicspace,2834
civiltech,cpe:/:civiltech,2835
civitasmedia,cpe:/:civitasmedia,10690
cj,cpe:/:cj,2837
CJ Niemira,cpe:/:phpmyid,6883
cj-design,cpe:/:cj-design,2836
cjg explorer pro,cpe:/:cjg_explorer_pro,2838
cjmall,cpe:/:cjmall,10418
CJXToken project,cpe:/:cjxtoken_project,14586
CKEditor Team,cpe:/:ckeditor,537
CKSource sp. z o.o. sp.k.,cpe:/:cksource,17204
ClamAV,cpe:/:clamav,389
clamscan project,cpe:/:clamscan_project,18164
clan manager pro,cpe:/:clan_manager_pro,2839
clang-extra project,cpe:/:clang-extra_project,14417
clanlite,cpe:/:clanlite,2840
clantiger,cpe:/:clantiger,1400
Claranova,cpe:/:claranova,18099
clarens,cpe:/:clarens,2841
Claroline Consortium,cpe:/:claroline,1401
Claromentis Ltd,cpe:/:claromentis,15579
Claroty Ltd.,cpe:/:misc,19199
class,cpe:/:class,2842
class-transformer project,cpe:/:class-transformer_project,18136
classified-software,cpe:/:classified-software,2843
classifiedphpscript,cpe:/:classifiedphpscript,2844
classifieds caffe,cpe:/:classifieds_caffe,2845
classroombookings,cpe:/:classroombookings,19283
classweb,cpe:/:classweb,2846
classyfrieds project,cpe:/:classyfrieds_project,19953
Claudio Klingler,cpe:/:claudio_klingler,1035
Claudio Kuenzler,cpe:/:check_diskio_project,10333
Claus Due,cpe:/:claus_due,1185
clausvb,cpe:/:clausvb,2848
Clavister AB,cpe:/:clavister,2849
Claws Mail,cpe:/:claws_mail,254
claxon_project,cpe:/:claxon_project,16866
Claybird,cpe:/:lhaforge_project,594
Claydip,cpe:/:claydip,13183
Cleanersoft Software,cpe:/:cleanersoft,4496
cleaninternet,cpe:/:cleaninternet,10847
CleanTalk,cpe:/:cleantalk,17466
clear,cpe:/:clear,1402
clearBudget,cpe:/:clearbudget,12068
clearfishing,cpe:/:clearfishing,10869
clearhub,cpe:/:clearhub,10789
clearswift,cpe:/:clearswift,9382
clemens wacha,cpe:/:clemens_wacha,2850
Clementine,cpe:/:clementine-player,15280
clever components,cpe:/:clever_components,2851
clever copy,cpe:/:clever_copy,2852
cleverpath,cpe:/:cleverpath,2853
CleverSoft,cpe:/:cleversoft,19946
cli project,cpe:/:cli_project,14316
click project,cpe:/:click_project,12478
Click Studios,cpe:/:clickstudios,15300
Click-Fraud Monitoring,cpe:/:clickfraud-monitoring,12646
Click2Sell,cpe:/:click2sell,9128
ClickDesk,cpe:/:clickdesk,4533
clickhouse-driver project,cpe:/:clickhouse-driver_project,19489
clicknet,cpe:/:clicknet,2854
clicktech,cpe:/:clicktech,2855
clientexec,cpe:/:clientexec,2856
clientsoftware,cpe:/:clientsoftware,2857
Climb Inc.,cpe:/:cloudberrylab,16957
clip-share,cpe:/:clip-share,2858
ClipBucket,cpe:/:clip-bucket,1403
clipcomm,cpe:/:clipcomm,9385
Clipper project,cpe:/:clipper_project,19724
ClipperCMS,cpe:/:clippercms,14125
CLIPSOFT,cpe:/:clipsoft,17374
CliqueMania,cpe:/:cliquemania,14090
cliserv,cpe:/:cliserv,2859
Clixint Technologies,cpe:/:clixint,1139
CloakCoin,cpe:/:cloakcoin,17397
Clockwork,cpe:/:clockworksms,13486
Clogica,cpe:/:clogica,16791
clone2009,cpe:/:clone2009,2860
CloneForest,cpe:/:cloneforest,6540
Clonemonster,cpe:/:clonemonster,4543
clonos project,cpe:/:clonos_project,16977
clonuswiki,cpe:/:clonuswiki,2861
Clorius Controls A/S,cpe:/:clorius_controls_a%2Fs,11487
closeprotectionworld,cpe:/:closeprotectionworld,10529
closure-compiler-stream project,cpe:/:closure-compiler-stream_project,18032
closurecompiler project,cpe:/:closurecompiler_project,14278
Cloud Foundry Foundation,cpe:/:cloud_foundry,12288
Cloud Media,cpe:/:cloudmedia,14914
Cloud Native Computing Foundation,cpe:/:cncf,16235
Cloud Native Computing Foundation (CNCF),cpe:/:misc,13376
"Cloud4Wi, Inc",cpe:/:cloud4wi,13034
cloudacl,cpe:/:cloudacl,11295
cloudavid,cpe:/:cloudavid,19041
CloudBees,cpe:/:cloudbees,858
CloudCTI,cpe:/:cloudcti,17330
"Cloudera, Inc.",cpe:/:cloudera,1818
"Cloudflare, Inc",cpe:/:misc,17770
"Cloudflare, Inc.",cpe:/:cloudflare,18818
cloudflare-scrape project,cpe:/:cloudflare-scrape_project,12530
CloudMagic,cpe:/:cloudmagic,18052
CloudMe,cpe:/:cloudme,13753
cloudnine interactive,cpe:/:cloudnine_interactive,2862
cloudpub-redis project,cpe:/:cloudpub-redis_project,14355
CloudView NMS,cpe:/:cloudviewnms,12614
Cloudwords,cpe:/:cloudwords,11635
CloutToken project,cpe:/:clouttoken_project,15141
CloverDX,cpe:/:cloverdx,20062
clscript,cpe:/:clscript,2863
club-nuke,cpe:/:club-nuke,2864
clubpersonal,cpe:/:clubpersonal,11102
Cluster Labs,cpe:/:clusterlabs,9215
Clustercoding,cpe:/:clustercoding,14084
Clutter Project,cpe:/:clutter_project,9171
CM project,cpe:/:cm_project,14559
cm68 news,cpe:/:cm68_news,2865
cmake project,cpe:/:cmake_project,14370
cmft project,cpe:/:cmft_project,15202
cmpro team,cpe:/:cmpro_team,2866
cmreams,cpe:/:cmreams,2867
cms frogss,cpe:/:cms_frogss,2872
cms little,cpe:/:cms_little,2873
CMS Made Simple,cpe:/:cmsmadesimple,1405
CMS MaeloStore project,cpe:/:cms_maelostore_project,14853
cms.brdconcept,cpe:/:cms.brdconcept,2868
cms.maury91,cpe:/:cms.maury91,2869
cms.r.,cpe:/:cms.r.,2870
cms.tut.su,cpe:/:cms.tut.su,2871
cmsbright,cpe:/:cmsbright,2874
cmsbuzz,cpe:/:cmsbuzz,2875
cmscontrol,cpe:/:cmscontrol,2876
CMScout,cpe:/:cmscout,787
cmsdevelopment,cpe:/:cmsdevelopment,2877
CMSeasy,cpe:/:cmseasy,14291
cmsfaethon,cpe:/:cmsfaethon,1404
cmsisweb,cpe:/:cmsisweb,2879
CMSJunkie,cpe:/:cmsjunkie,11517
cmsmelborp,cpe:/:cmsmelborp,2880
cmsmini,cpe:/:cmsmini,2881
cmsnx,cpe:/:cmsnx,2882
cmsqlite,cpe:/:cmsqlite,2883
cmstactics,cpe:/:cmstactics,2884
CMSUno project,cpe:/:cmsuno_project,15398
CMSWing,cpe:/:cmswing,16040
cmsworks,cpe:/:cmsworks,2885
cmtexts,cpe:/:cmtexts,2886
CMU Speech Software,cpe:/:cmu,9443
cmus,cpe:/:cmus,2887
Cnesty,cpe:/:cnesty,19039
cnezsoft,cpe:/:cnezsoft,16727
cnn,cpe:/:cnn,10613
cnpmjs,cpe:/:cnpmjs,14229
cnr.somee,cpe:/:cnr.somee,2888
cnstats,cpe:/:cnstats,2889
co-cli-installer project,cpe:/:co-cli-installer_project,14434
Co2Bit project,cpe:/:co2bit_project,15013
coalescent systems,cpe:/:coalescent_systems,2890
coapthon project,cpe:/:coapthon_project,16234
coastal,cpe:/:coastal,2891
Coaster CMS,cpe:/:coastercms,19372
COB's Products,cpe:/:cob%27s_products,8886
cobalt-cli project,cpe:/:cobalt-cli_project,14239
Cobbler project,cpe:/:cobbler_project,1587
Cobham plc,cpe:/:cobham,9939
COBToken project,cpe:/:cobtoken_project,15039
Cockpit Project,cpe:/:cockpit-project,16219
cocodigi,cpe:/:cocodigi,11305
cocoppa,cpe:/:cocoppa,10481
CoCSoft Computing,cpe:/:cocsoft,1067
Code Aurora Forum,cpe:/:misc,6663
Code Crafters Software Limited.,cpe:/:code-crafters,2892
Code Industry Ltd.,cpe:/:code-industry,19523
Code Snippets,cpe:/:codesnippets,17858
code-garage,cpe:/:code-garage,2893
"Code42 Software, Inc.",cpe:/:code42,12841
Code47,cpe:/:code47,15161
Code::Blocks,cpe:/:codeblocks,18170
CodEasily,cpe:/:codeasily,10184
codeavalanche,cpe:/:codeavalanche,2894
codebb,cpe:/:codebb,2895
codebreak,cpe:/:codebreak,2896
Codec Guide,cpe:/:k-litecodec,9680
CODECABIN_,cpe:/:codecabin_,12649
codecall,cpe:/:codecall,2897
CodeCanyon,cpe:/:social_microblogging_pro_project,11425
Codecov,cpe:/:codecov,17794
Codection,cpe:/:codection,12626
codedesign.jp,cpe:/:codedesign,8885
codedoc project,cpe:/:codedoc_project,16538
CodeDropz,cpe:/:codedropz,18358
codeeta,cpe:/:codeeta,10989
codefabrik gmbh,cpe:/:codefabrik,837
codefixer,cpe:/:codefixer,2898
codefuture,cpe:/:codefuture,816
Codehaus,cpe:/:codehaus,6592
Codehaus Plexus,cpe:/:plexus-archiver_project,15274
Codehaus Plexus,cpe:/:plexus-utils_project,13554
CodeIgniter Rest Server project,cpe:/:codeigniter-restserver_project,16549
codeinitiator,cpe:/:codeinitiator,19915
CodeLathe,cpe:/:getfilecloud,12302
codelib,cpe:/:codelib,2899
CodeLibs Project,cpe:/:codelibs,15778
codem-transcode project,cpe:/:codem-transcode_project,13317
codemenschen,cpe:/:codemenschen,15392
codemight,cpe:/:codemight,2900
codemiq,cpe:/:misc,19204
CodeMirror,cpe:/:codemirror,18673
codemonkeyx,cpe:/:codemonkeyx,2901
codemunkyx,cpe:/:codemunkyx,9394
codenx,cpe:/:codenx,14777
Codeorigin,cpe:/:sysax,7884
CodePeople,cpe:/:codepeople,9553
CodePlea,cpe:/:codeplea,15187
CodeQL project,cpe:/:codeql_project,17612
Coderpixel,cpe:/:coderpixel,15884
CodersClub,cpe:/:codersclub,16644
codes-lab,cpe:/:codeslab,14081
codetoad,cpe:/:codetoad,2903
codewalkers,cpe:/:codewalkers,2904
codewand,cpe:/:codewand,2905
codewidgets,cpe:/:codewidgets,2906
codewiz,cpe:/:codewiz,2907
codeworx technologies,cpe:/:codeworx_technologies,2908
CodeWrights GmbH,cpe:/:codewrights,11946
Codextrous,cpe:/:codextrous,12737
codezen.org,cpe:/:canto,10355
Codiad,cpe:/:codiad,9307
codice-cms,cpe:/:codice-cms,2909
codingfish,cpe:/:codingfish,2910
CODOFORUM,cpe:/:codoforum,11598
Codologic.com,cpe:/:codologic,1011
cofee-script project,cpe:/:coffescript_project,14689
coffee-inn,cpe:/:coffee-inn,11055
Coffeecoin project,cpe:/:coffeecoin_project,14897
Cog-Creators,cpe:/:cogboard,18654
Cogent Real-Time Systems Inc.,cpe:/:cogentdatahub,700
cogites,cpe:/:cogites,2911
Cognex,cpe:/:misc,19349
Cognito Software Ltd,cpe:/:cognito,12815
Coherence project,cpe:/:coherence_project,15780
Cohesity,cpe:/:cohesity,16572
Cohesive Networks,cpe:/:cohesive,18585
"CohuHD Costar, LLC",cpe:/:cohuhd,13408
Coinkite Inc.,cpe:/:coinkite,17413
Coinlancer project,cpe:/:coinlancer,15653
Coinquer project,cpe:/:coinquer_project,14513
coinsoft technologies,cpe:/:coinsoft_technologies,2912
Coinstar project,cpe:/:coinstar_project,14911
CoinToken project,cpe:/:cointoken_project,15044
cokestudio,cpe:/:cokestudio,11281
cold bbs,cpe:/:cold_bbs,2913
Coldfront Labs,cpe:/:mathew_winstone,4229
Coldfront Labs Inc.,cpe:/:codfront_labs,11849
ColdGen,cpe:/:coldgen,957
Coleman Watts,cpe:/:coleman_watts,6677
Coles Financial Services,cpe:/:coles_credit_cards,10037
coliss,cpe:/:misc,9196
"CollabNet, Inc.",cpe:/:collabnet,624
Collabora Ltd,cpe:/:collaboraoffice,18490
collectd,cpe:/:collectd,1408
CollectiveAccess,cpe:/:collectiveaccess,9209
CollectiveColors,cpe:/:collectivecolors,4516
collector,cpe:/:collector,2915
collectorz,cpe:/:collectorz,2916
College Management System Project,cpe:/:college_management_system_project,19672
college publisher import project,cpe:/:college_publisher_import_project,19952
colloquy,cpe:/:colloquy,2917
Colorbox project,cpe:/:colorbox_project,11976
Colorscore project,cpe:/:colorscore_project,12053
ColossusXT,cpe:/:colossusxt,16149
Columbia Weather Systems,cpe:/:columbiaweather,16456
com colorlab,cpe:/:com_colorlab,2919
com janews,cpe:/:com_janews,2920
com jumi,cpe:/:com_jumi,2921
COM Meets Ruby,cpe:/:artonx.org,1811
com sg,cpe:/:com_sg,2922
com yanc,cpe:/:com_yanc,2923
com-property,cpe:/:com-property,2918
Com2uS,cpe:/:misc,10196
Com2uS USA,cpe:/:withhive,10079
Comba,cpe:/:comba,18086
ComBillAdvancedToken project,cpe:/:combilladvancedtoken_project,14577
Combodo,cpe:/:combodo,801
Comcast,cpe:/:comcast,11156
comdev,cpe:/:comdev,2924
comdev.eu,cpe:/:comdev,13749
Come on Girls Interface,cpe:/:c61,6559
Comelz,cpe:/:comelz,16824
comersus open technologies,cpe:/:comersus_open_technologies,2925
comet,cpe:/:comet,2926
comforte,cpe:/:comforte,13857
comicshout,cpe:/:comicshout,2927
comicsplusapp,cpe:/:comicsplusapp,10451
comingchina,cpe:/:comingchina,2928
comix,cpe:/:comix,2929
COMMAX,cpe:/:commax,18441
commentapp.stetsonwood project,cpe:/:commentapp.stetsonwood_project,14395
Commerce Balanced Payments project,cpe:/:commerce_balanced_payments_project,11658
Commerce Commonwealth project,cpe:/:drupalcommerce,11936
Commerce Guys,cpe:/:commerceguys,4409
Commerce Ogone project,cpe:/:commerce_ogone_project,11739
commodityrentals,cpe:/:commodityrentals,1409
common controls replacement project,cpe:/:common_controls_replacement_project,2931
common-solutions,cpe:/:common-solutions,2930
Commons Wikis Project,cpe:/:commons_wikis_project,9027
CommScope,cpe:/:commscope,18255
commtouch,cpe:/:commtouch,2932
CommuniLink,cpe:/:communilink,18157
community architect,cpe:/:community_architect,9410
community cms,cpe:/:community_cms,2933
Community Events project,cpe:/:community_events_project,13015
communityfactory,cpe:/:communityfactory,10676
communityserver.org,cpe:/:communityserver.org,2934
"Commvault Systems, Inc",cpe:/:commvault,11987
Comodo,cpe:/:comodo,1298
compact cms,cpe:/:compact_cms,2935
compact_arena project,cpe:/:compact_arena_project,17029
Compal Broadband Networks,cpe:/:compal_broadband_networks,10285
companionway,cpe:/:companionway,2936
compaq,cpe:/:compaq,4182
COMPAREX,cpe:/:comparex,15766
Compass Plus,cpe:/:compassplus,19769
Compass Rose project,cpe:/:compass_rose_project,13200
compass-compile_project,cpe:/:compass-compile_project,18139
CompassionCH,cpe:/:compassionuk,16827
Compfight,cpe:/:compfight_project,9947
compile-sass project,cpe:/:compile-sass_project,17945
compiz,cpe:/:compiz,2937
Complete Responsive CMS Blog project,cpe:/:complete_responsive_cms_blog_project,15435
compmaster.prv.pl,cpe:/:compmaster.prv.pl,2938
component-flatten project,cpe:/:component-flatten_project,17968
ComponentOne,cpe:/:componentone,492
Components For WP Bakery Page Builder project,cpe:/:components_for_wp_bakery_page_builder_project,16988
componentslab,cpe:/:componentslab,2939
Composer,cpe:/:getcomposer,18635
Compound Finance,cpe:/:compound,18340
Compression and Archive Extensions project,cpe:/:compression_and_archive_extensions_project,18430
compteur,cpe:/:compteur,2940
CompuLab,cpe:/:compulab,12790
Computer Lab International,cpe:/:computerlab,16611
Computer Networks Group,cpe:/:ccn-lite,13694
Computerinsel GmbH,cpe:/:pl32,1181
Computrols,cpe:/:computrols,16396
comrak,cpe:/:comrak_project,18929
comscripts,cpe:/:comscripts,2941
Comsenz Technology,cpe:/:comsenz,2942
Comtech EF Data Corporation,cpe:/:comtechefdata,17325
Comtrend,cpe:/:comtrend,4183
comus,cpe:/:comus,2943
comvigo,cpe:/:comvigo,9378
comvironment,cpe:/:comvironment,2944
Con Kolivas,cpe:/:cgminer_project,9900
CON0217 project,cpe:/:con0217_project,15082
"Conarc, Inc.",cpe:/:conarc,13491
Concept Software Private Limited,cpe:/:inpage,13335
conceptcms,cpe:/:conceptcms,1410
Conceptronic,cpe:/:conceptronic,9324
concerto-signage,cpe:/:concerto-signage,19992
Concread プロジェクト,cpe:/:concread_project,19439
Concrete CMS,cpe:/:concretecms,19752
concrete5,cpe:/:concrete5,1411
concursive,cpe:/:concursive,10839
Condor Project,cpe:/:condor_project,2945
"Conexant Systems, LLC",cpe:/:conexant,12714
"ConeXware, Inc.",cpe:/:powerarchiver,336
Config-Model project,cpe:/:config-model_project,12767
ConfigServer,cpe:/:configserver,1057
confinit project,cpe:/:confinit_project,18134
Confire project,cpe:/:confire_project,13388
conga,cpe:/:conga,2946
conkurent,cpe:/:conkurent,2947
Conky,cpe:/:conky,763
connect project,cpe:/:connect_project,14437
connect-pg-simple project,cpe:/:connect-pg-simple_project,16907
Connect2id Ltd.,cpe:/:connect2id,13054
connection-tester project,cpe:/:connection-tester_project,19317
Connections project,cpe:/:connections_project,8818
connectix,cpe:/:connectix,2948
"ConnectWise, Inc.",cpe:/:connectwise,12944
Connekt Media,cpe:/:connekthq,19736
connie-lang project,cpe:/:connie-lang_project,18660
ConnMan project,cpe:/:connman_project,1839
ConnX,cpe:/:connx,14783
conpresso,cpe:/:conpresso,2949
conquer-once project,cpe:/:conquer-once_project,19634
CONQUEST DICOM SERVER project,cpe:/:conquest_dicom_server_project,19236
conrad hotel project,cpe:/:conrad_hotel_project,10443
console-io project,cpe:/:console-io_project,14667
consolekit project,cpe:/:consolekit_project,17471
Constant Contact,cpe:/:constantcontact,19763
constantin charissis,cpe:/:constantin_charissis,2950
constructor component,cpe:/:constructor_component,2951
constructr,cpe:/:constructr,2952
Construtiva Internet Software,cpe:/:construtiva,9590
consulo,cpe:/:consulo,10497
Consumer Reviews Script project,cpe:/:consumer_reviews_script_project,16187
Contact Form 7 Database Addon,cpe:/:contact_form_7_database_addon,19751
Contact Form 7 Datepicker project,cpe:/:contact-form-7-datepicker_project,18177
Contact Form Submissions project,cpe:/:contact_form_submissions_project,19765
"ContactUs.com, Inc.",cpe:/:contactus,10122
containers project,cpe:/:containers_project,19590
containers-image project,cpe:/:containers-image_project,20073
Containous,cpe:/:containous,15366
Contao,cpe:/:contao,803
CONTEC-TOUCH,cpe:/:contec-touch,13968
contelligent,cpe:/:contelligent,2953
CONTENIDO,cpe:/:contenido,2954
Content Construction Kit project,cpe:/:content_construction_kit_project,6445
content now,cpe:/:content_now,2955
Content Rating Extbase project,cpe:/:content_rating_extbase_project,11520
Content Rating project,cpe:/:content_rating_project,11519
contentcustomizer,cpe:/:contentcustomizer,2956
Contentful,cpe:/:contentful,18312
contentkeeper technologies,cpe:/:contentkeeper_technologies,2957
ContentLion,cpe:/:contentlion,1212
contentserv,cpe:/:contentserv,2958
"ContentWatch, Inc.",cpe:/:misc,11628
content_project,cpe:/:content_project,14723
Contest-Gallery,cpe:/:contest-gallery,16395
Context project,cpe:/:context_project,11477
conti,cpe:/:conti,2959
Contiki プロジェクト,cpe:/:uip_project,10272
Contiki-NG,cpe:/:contiki-ng,15430
CONTIMEX,cpe:/:contimex,1224
contra haber sistemi,cpe:/:contra_haber_sistemi,2960
Contractor scripts,cpe:/:contractorscripts,13278
contray,cpe:/:contray,2961
Contributed Systems LLC.,cpe:/:contribsys,19303
Control Microsystems,cpe:/:controlmicrosystems,929
ControlByWeb,cpe:/:controlbyweb,16233
Controlled Electronic Management Systems,cpe:/:misc,19428
controlled-merge project,cpe:/:controlled-merge_project,18993
contronics GmbH Automationssysteme,cpe:/:contronics,15535
contus-video-comments project,cpe:/:contus-video-comments_project,12218
Convergine,cpe:/:convergine,6654
conversador project,cpe:/:conversador_project,17647
Converse.js,cpe:/:conversejs,12380
Conversion Ninja,cpe:/:conversion_ninja,9755
Convert::ASN1 project,cpe:/:convert%3a%3aasn1_project,18174
ConvertPlug,cpe:/:convertplug,16985
convirture,cpe:/:convirture,2962
conxint,cpe:/:conxint,2963
cookex,cpe:/:cookex,2964
cookie project,cpe:/:cookie_project,16917
cookie-signature project,cpe:/:cookie-signature_project,17492
Cool Video Gallery project,cpe:/:cool_video_gallery_project,12021
CoolKit Technology,cpe:/:coolkit,18987
CoolMedia,cpe:/:coolrecordedit,4449
Coolpad Technologies Inc.,cpe:/:coolpad,15993
CoolPDF Software,cpe:/:coolpdf,8830
coolplayer,cpe:/:coolplayer,2965
CooTek,cpe:/:touchpal,1263
Copay,cpe:/:copay,16020
copperleaf,cpe:/:copperleaf,2966
Coppermine Photo Gallery,cpe:/:coppermine-gallery,1412
copy-me project,cpe:/:copy-me_project,17083
CoquinhoERC20 project,cpe:/:coquinhoerc20_project,15170
cor entertainment,cpe:/:cor_entertainment,2967
cor-entertainment,cpe:/:cor-entertainment,17454
Cordaware GmbH Informationslogistik,cpe:/:cordaware,16087
Core FTP,cpe:/:coreftp,2969
core security technologies,cpe:/:core_security_technologies,2968
core-apps,cpe:/:core-apps,10374
coreBOS project,cpe:/:corebos_project,14862
CoreHR,cpe:/:corehr,17349
corejoomla,cpe:/:corejoomla,2970
CorelliCoin project,cpe:/:corellicoin_project,15033
Coremail,cpe:/:coremail,13057
corenlp-js-interface project,cpe:/:corenlp-js-interface_project,19245
corenlp-js-prefab project,cpe:/:corenlp-js-prefab_project,19293
CoreOS,cpe:/:coreos,14146
corephp,cpe:/:corephp,2972
Corey Minyard,cpe:/:corey_minyard,975
Corner project,cpe:/:corner_project,11653
Cornerstone project,cpe:/:cornerstone_project,14525
Cornerstone Technologies,cpe:/:cstech,8837
corntree,cpe:/:corntree,10898
coronamatrix,cpe:/:coronamatrix,2973
Corosync,cpe:/:corosync,9743
Corporater,cpe:/:corporater,9088
"CORSAIR COMPONENTS, INC.",cpe:/:corsair,15877
Corus Entertainment Inc.,cpe:/:corusent,17872
CoScale,cpe:/:coscale_agent_project,19355
CosCMS,cpe:/:coscms,9701
cosign,cpe:/:cosign,2974
"Cosmic Technologies, Inc",cpe:/:cherrymobile,17491
CosmoCMS,cpe:/:cosmocms,14087
COSMOTokenERC20 project,cpe:/:cosmotokenerc20_project,14996
Cosori,cpe:/:cosori,19822
CoSoSys Ltd,cpe:/:cososys,4490
Cotonti Team,cpe:/:cotonti_team,9061
coturn project,cpe:/:coturn_project,16043
"Couchbase, Inc.",cpe:/:couchbase,15401
CouchCMS,cpe:/:couchcms,13860
counterchaos,cpe:/:counterchaos,2976
counterintuition,cpe:/:counterintuition,10803
counterpane,cpe:/:counterpane,6709
counterpath,cpe:/:counterpath,2977
couponcabin - coupons & deals project,cpe:/:couponcabin_-_coupons_%26_deals_project,10950
couponPHP,cpe:/:couponphp,11471
couponscript,cpe:/:couponscript,2978
